City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Ambilobe,MG,2022-11-30 00:23:42,-13.2,49.05,75.45,79,86,2.01,overcast clouds
60,Rawah,IQ,2022-11-30 00:23:42,34.4816,41.9093,63.32,46,100,6.06,overcast clouds
61,Lubumbashi,CD,2022-11-30 00:23:43,-11.6609,27.4794,61.36,90,86,2.35,overcast clouds
62,Vila Velha,BR,2022-11-30 00:21:53,-20.3297,-40.2925,75.15,94,100,12.66,overcast clouds
63,Harper,LR,2022-11-30 00:23:43,4.375,-7.7169,77.52,84,39,2.24,scattered clouds
64,Marathon,US,2022-11-30 00:23:44,44.9,-89.7668,38.73,92,100,17.27,light rain
65,Navahrudak,BY,2022-11-30 00:23:44,53.6,25.8333,28.24,98,96,6.85,overcast clouds
66,Coquimbo,CL,2022-11-30 00:23:45,-29.9533,-71.3436,62.33,82,75,6.91,broken clouds
67,Codrington,AU,2022-11-30 00:23:45,-38.2667,141.9667,59.22,70,86,9.08,overcast clouds
68,Sao Francisco,BR,2022-11-30 00:23:45,-15.9486,-44.8644,69.12,95,62,4.21,broken clouds
69,Trikala,GR,2022-11-30 00:23:46,39.5553,21.7675,47.55,83,100,1.88,overcast clouds
70,Hispania,CO,2022-11-30 00:23:46,5.7993,-75.9072,67.5,97,89,2.62,light rain
71,Upata,VE,2022-11-30 00:23:47,8.0086,-62.3989,69.51,98,95,3.74,overcast clouds
72,Hambantota,LK,2022-11-30 00:20:50,6.1241,81.1185,74.44,83,74,8.93,broken clouds
73,Wilmington,US,2022-11-30 00:20:32,34.2257,-77.9447,61.92,83,20,4.61,few clouds
74,Rincon,US,2022-11-30 00:19:31,32.296,-81.2354,64.36,79,0,3.44,clear sky
75,Makurdi,NG,2022-11-30 00:23:48,7.7411,8.5121,75.29,29,7,1.12,clear sky
76,Liverpool,GB,2022-11-30 00:23:48,53.4106,-2.9779,42.15,97,100,5.99,light intensity drizzle
77,Mercedes,AR,2022-11-30 00:23:48,-34.6515,-59.4307,82.63,38,22,14.85,few clouds
78,Maniitsoq,GL,2022-11-30 00:23:49,65.4167,-52.9,27.5,80,82,19.82,broken clouds
79,Umm Kaddadah,SD,2022-11-30 00:23:49,13.6017,26.6876,73.99,25,25,13.78,scattered clouds
80,Plettenberg Bay,ZA,2022-11-30 00:21:02,-34.0527,23.3716,67.39,69,1,6.26,clear sky
81,Diffa,NE,2022-11-30 00:23:50,13.3154,12.6113,65.91,23,87,8.01,overcast clouds
82,Requena,ES,2022-11-30 00:23:50,39.4883,-1.1004,43.79,63,89,5.35,overcast clouds
83,Cidreira,BR,2022-11-30 00:23:51,-30.1811,-50.2056,70.7,90,52,16.08,broken clouds
84,Comodoro Rivadavia,AR,2022-11-30 00:23:51,-45.8667,-67.5,51.66,66,0,12.66,clear sky
85,Ilulissat,GL,2022-11-30 00:23:51,69.2167,-51.1,23.02,80,100,0.0,overcast clouds
86,Omboue,GA,2022-11-30 00:23:52,-1.5746,9.2618,74.95,90,100,3.2,light rain
87,Altoona,US,2022-11-30 00:19:39,40.5187,-78.3947,44.49,75,100,1.99,overcast clouds
88,Bilma,NE,2022-11-30 00:24:52,18.6853,12.9164,62.74,40,36,8.14,scattered clouds
89,Cabedelo,BR,2022-11-30 00:22:54,-6.9811,-34.8339,79.47,71,84,11.83,broken clouds
90,Parabel,RU,2022-11-30 00:24:53,58.6978,81.4825,-17.23,97,67,3.83,broken clouds
91,Mehamn,NO,2022-11-30 00:24:53,71.0357,27.8492,35.55,93,90,16.11,overcast clouds
92,Margate,GB,2022-11-30 00:22:11,51.3813,1.3862,45.7,93,89,1.01,overcast clouds
93,Antalaha,MG,2022-11-30 00:24:54,-14.9003,50.2788,69.35,89,3,4.56,clear sky
94,East London,ZA,2022-11-30 00:22:24,-33.0153,27.9116,69.98,81,43,17.11,scattered clouds
95,Mahebourg,MU,2022-11-30 00:23:03,-20.4081,57.7,72.25,94,75,1.14,broken clouds
96,Banda Aceh,ID,2022-11-30 00:23:06,5.5577,95.3222,77.32,80,100,6.33,overcast clouds
97,Mar Del Plata,AR,2022-11-30 00:24:55,-38.0023,-57.5575,69.1,86,75,20.71,thunderstorm
98,Cayenne,GF,2022-11-30 00:24:55,4.9333,-52.3333,73.44,94,100,0.0,overcast clouds
99,Castro,BR,2022-11-30 00:24:55,-24.7911,-50.0119,60.62,94,84,7.81,broken clouds
100,Nalut,LY,2022-11-30 00:24:56,30.3333,10.85,48.88,64,0,9.15,clear sky
101,Saint-Francois,FR,2022-11-30 00:24:56,46.4154,3.9054,42.24,93,100,4.61,overcast clouds
102,Kruisfontein,ZA,2022-11-30 00:24:57,-34.0033,24.7314,63.88,71,7,6.31,clear sky
103,Mango,US,2022-11-30 00:24:57,27.9797,-82.3065,75.99,69,0,5.75,clear sky
104,Sumbe,AO,2022-11-30 00:24:58,-11.2061,13.8437,76.68,89,100,10.18,light rain
105,Umm Lajj,SA,2022-11-30 00:24:58,25.0213,37.2685,74.64,55,41,4.68,scattered clouds
106,Pisco,PE,2022-11-30 00:20:38,-13.7,-76.2167,68.05,83,0,11.5,clear sky
107,Itarema,BR,2022-11-30 00:24:59,-2.9248,-39.9167,77.76,79,95,8.1,overcast clouds
108,Boddam,GB,2022-11-30 00:24:59,57.4667,-1.7833,32.49,81,70,15.35,broken clouds
109,Elliot,ZA,2022-11-30 00:25:00,-31.3333,27.85,62.55,52,76,7.05,broken clouds
110,Faya,SA,2022-11-30 00:21:01,18.3851,42.4509,53.71,71,5,1.16,clear sky
111,Urumqi,CN,2022-11-30 00:22:01,43.801,87.6005,-8.45,71,0,0.0,clear sky
112,Narsaq,GL,2022-11-30 00:25:01,60.9167,-46.05,28.62,87,100,3.67,overcast clouds
113,Souillac,MU,2022-11-30 00:25:01,-20.5167,57.5167,70.18,94,75,1.14,broken clouds
114,Grindavik,IS,2022-11-30 00:25:02,63.8424,-22.4338,46.87,93,100,37.98,overcast clouds
115,Niquelandia,BR,2022-11-30 00:25:02,-14.4739,-48.4597,68.56,91,36,2.93,scattered clouds
116,Cockburn Town,TC,2022-11-30 00:25:03,21.4612,-71.1419,80.4,69,25,19.66,scattered clouds
117,Carnarvon,AU,2022-11-30 00:22:17,-24.8667,113.6333,73.47,73,0,11.86,clear sky
118,Tambura,SS,2022-11-30 00:25:03,5.6,27.4667,73.33,73,95,2.64,overcast clouds
119,Victoria,HK,2022-11-30 00:23:32,22.2855,114.1577,78.85,88,2,8.16,clear sky
120,Monze,ZM,2022-11-30 00:25:04,-16.2833,27.4833,62.94,91,1,4.61,clear sky
121,Sanandaj,IR,2022-11-30 00:25:04,35.3144,46.9923,41.02,87,75,0.0,broken clouds
122,Bafoulabe,ML,2022-11-30 00:25:05,13.8065,-10.8321,81.27,18,98,3.2,overcast clouds
123,Porto Nacional,BR,2022-11-30 00:25:05,-10.7081,-48.4172,75.2,95,99,6.31,overcast clouds
124,Paita,PE,2022-11-30 00:25:06,-5.0892,-81.1144,67.33,84,78,15.97,broken clouds
125,Olafsvik,IS,2022-11-30 00:25:06,64.8945,-23.7142,43.0,88,100,19.91,overcast clouds
126,Nicholasville,US,2022-11-30 00:25:07,37.8806,-84.573,60.94,58,0,16.11,clear sky
127,Rio Grande,BR,2022-11-30 00:22:45,-32.035,-52.0986,71.71,89,9,14.72,clear sky
128,Santa Fe,AR,2022-11-30 00:25:07,-31.6333,-60.7,89.01,42,13,5.01,light rain
129,Ponta Do Sol,PT,2022-11-30 00:25:07,32.6667,-17.1,63.72,75,29,3.91,scattered clouds
130,Aswan,EG,2022-11-30 00:25:08,24.0934,32.907,66.24,39,50,6.89,scattered clouds
131,Nadym,RU,2022-11-30 00:25:08,65.5333,72.5167,7.09,95,100,5.61,overcast clouds
132,Misratah,LY,2022-11-30 00:25:09,32.3754,15.0925,62.19,61,91,17.2,overcast clouds
133,Vestmanna,FO,2022-11-30 00:25:10,62.1564,-7.1664,41.92,93,75,10.36,broken clouds
134,Podor,MR,2022-11-30 00:25:10,16.6527,-14.9587,78.17,15,0,12.06,clear sky
135,Turukhansk,RU,2022-11-30 00:26:11,65.8167,87.9833,-7.87,99,99,5.1,overcast clouds
136,Lixourion,GR,2022-11-30 00:26:11,38.2019,20.4314,53.4,83,100,17.45,overcast clouds
137,Imbituba,BR,2022-11-30 00:26:11,-28.24,-48.6703,73.85,94,73,9.44,broken clouds
138,Lebu,CL,2022-11-30 00:26:12,-37.6167,-73.65,56.12,89,100,16.51,overcast clouds
139,Tetouan,MA,2022-11-30 00:26:13,35.5711,-5.3724,47.17,76,0,6.91,clear sky
140,Angoche,MZ,2022-11-30 00:26:13,-16.2325,39.9086,76.44,81,100,5.48,light rain
141,Sao Miguel Do Araguaia,BR,2022-11-30 00:25:46,-13.275,-50.1628,71.76,92,65,6.29,broken clouds
142,Luderitz,NA,2022-11-30 00:26:14,-26.6481,15.1594,60.84,90,25,7.76,scattered clouds
143,Sao Gabriel Da Cachoeira,BR,2022-11-30 00:24:57,-0.1303,-67.0892,73.89,97,98,2.59,overcast clouds
144,Dumka,IN,2022-11-30 00:26:14,24.2667,87.25,61.83,67,0,5.3,clear sky
145,Cuamba,MZ,2022-11-30 00:26:15,-14.8031,36.5372,68.25,86,100,3.06,overcast clouds
146,Pimenta Bueno,BR,2022-11-30 00:24:50,-11.6725,-61.1936,79.34,62,65,4.07,broken clouds
147,Kayerkan,RU,2022-11-30 00:26:15,69.3497,87.7602,-9.0,99,96,4.32,overcast clouds
148,Americus,US,2022-11-30 00:26:16,32.0724,-84.2327,69.39,73,40,5.75,scattered clouds
149,Kashi,CN,2022-11-30 00:26:16,39.4547,75.9797,18.61,45,58,6.71,dust
150,Yar-Sale,RU,2022-11-30 00:26:17,66.8333,70.8333,-1.34,99,99,1.28,overcast clouds
151,Kuito,AO,2022-11-30 00:26:17,-12.3833,16.9333,57.51,97,80,3.31,light rain
152,Sarlat-La-Caneda,FR,2022-11-30 00:26:18,44.889,1.2166,37.56,96,4,2.46,clear sky
153,Donskoye,RU,2022-11-30 00:26:18,45.4552,41.9741,32.13,75,98,24.18,overcast clouds
154,Salinopolis,BR,2022-11-30 00:23:13,-0.6136,-47.3561,77.88,86,89,8.41,overcast clouds
155,Thompson,CA,2022-11-30 00:26:19,55.7435,-97.8558,1.56,78,100,16.11,light snow
156,Kavaratti,IN,2022-11-30 00:26:19,10.5669,72.642,81.37,70,46,1.61,scattered clouds
157,Olinda,BR,2022-11-30 00:25:33,-8.0089,-34.8553,80.33,69,40,4.61,scattered clouds
158,Bonthe,SL,2022-11-30 00:26:20,7.5264,-12.505,78.06,80,18,3.49,few clouds
159,Beloha,MG,2022-11-30 00:26:20,-25.1667,45.05,72.1,76,100,4.72,overcast clouds
160,Adrar,MR,2022-11-30 00:26:21,20.5022,-10.0711,63.46,20,0,10.0,clear sky
161,Nowy Dwor Gdanski,PL,2022-11-30 00:26:21,54.2131,19.1177,34.99,95,58,6.35,broken clouds
162,Road Town,VG,2022-11-30 00:26:22,18.4167,-64.6167,78.84,83,40,4.61,scattered clouds
163,Mizdah,LY,2022-11-30 00:23:36,31.4451,12.9801,51.75,68,26,12.46,scattered clouds
164,Boras,SE,2022-11-30 00:26:22,57.721,12.9401,36.82,81,99,4.25,overcast clouds
165,Baragua,CU,2022-11-30 00:26:23,21.6967,-78.6328,76.82,77,60,9.91,broken clouds
166,Mitsamiouli,KM,2022-11-30 00:26:23,-11.3847,43.2844,77.36,78,66,7.47,broken clouds
167,Manta,EC,2022-11-30 00:24:30,-0.95,-80.7333,74.98,73,0,13.8,clear sky
168,Sao Filipe,CV,2022-11-30 00:26:24,14.8961,-24.4956,75.11,66,0,9.4,clear sky
