City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
305,Sao Jose Da Coroa Grande,BR,77.54,overcast clouds,-8.8978,-35.1478,Hotel do Sol
309,Soyo,AO,74.59,moderate rain,-6.1349,12.3689,Hotel Maria Teres
312,Morant Bay,JM,82.02,clear sky,17.8815,-76.4093,Morant Villas
313,Rundu,,71.1,scattered clouds,-17.9333,19.7667,Kavango River Lodge
318,Guantanamo,CU,81.97,few clouds,20.1444,-75.2092,Martí
321,Porto Velho,BR,78.85,clear sky,-8.7619,-63.9039,Hotel Slaviero Essential Porto Velho
323,Mazamari,PE,74.98,overcast clouds,-11.3258,-74.5308,Hospedaje El Conquistador
325,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
327,Mahibadhoo,MV,80.44,broken clouds,3.7833,72.9667,Coral View Inn
329,Ayorou,NE,72.91,clear sky,14.7308,0.9174,Hotel Aminokal
334,Neuquen,AR,78.69,clear sky,-38.9516,-68.0591,Hotel Argentina 307
341,Portmore,JM,82.36,few clouds,17.9702,-76.8672,Grand Port Royal Hotel Marina & Spa
343,Maragogi,BR,76.64,light rain,-9.0122,-35.2225,Pousada Mariluz
344,Ondjiva,AO,74.52,overcast clouds,-17.0667,15.7333,Águia Verde Hotel
350,Praia,CV,73.94,few clouds,14.9215,-23.5087,Casa Sodadi
352,Libertador General San Martin,AR,74.97,moderate rain,-23.8064,-64.7876,Hosteria Real Victoria
356,Mbini,GQ,75.99,overcast clouds,1.574,9.6134,La Trisa
360,Geraldton,AU,72.01,overcast clouds,-28.7667,114.6,Ocean Centre Hotel
365,Ampanihy,MG,73.08,overcast clouds,-24.7,44.75,Hotel restaurant Angora
368,Nicoya,CR,74.61,overcast clouds,10.1483,-85.452,Hotel marianela
374,Aden,YE,78.57,clear sky,12.7794,45.0367,فندق قصر الجزيرة
377,Kita,ML,76.51,overcast clouds,13.0349,-9.4895,Hotel Chats Rouges
